,name,salary,min_salary,max_salary,currency_salary,link,source
87,Senior Python developer (Django),до 450 000 руб.,,450000.0,руб.,https://hh.ru/vacancy/76821519?from=vacancy_search_list&query=python,hh.ru
88,Разработчик Python,80 000 – 120 000 руб.,80000.0,120000.0,руб.,https://hh.ru/vacancy/77038104?from=vacancy_search_list&query=python,hh.ru
89,Инженер-программист Python (автоматизация испытательных стендов),З/П не указана,,,,https://hh.ru/vacancy/76924233?from=vacancy_search_list&query=python,hh.ru
90,Deep Learning инженер,З/П не указана,,,,https://hh.ru/vacancy/76752874?from=vacancy_search_list&query=python,hh.ru
91,Python developer,150 000 – 250 000 руб.,150000.0,250000.0,руб.,https://hh.ru/vacancy/46229759?from=vacancy_search_list&query=python,hh.ru
92,Middle / Middle+ Python (Django) developer,З/П не указана,,,,https://hh.ru/vacancy/76541749?from=vacancy_search_list&query=python,hh.ru
93,Программист Python - FastAPI,от 180 000 руб.,180000.0,,руб.,https://hh.ru/vacancy/77096692?from=vacancy_search_list&query=python,hh.ru
94,Программист Python,З/П не указана,,,,https://hh.ru/vacancy/77065085?from=vacancy_search_list&query=python,hh.ru
95,Python developer,З/П не указана,,,,https://hh.ru/vacancy/76544211?from=vacancy_search_list&query=python,hh.ru
96,Python developer (middle/senior) удаленно,З/П не указана,,,,https://hh.ru/vacancy/77321723?from=vacancy_search_list&query=python,hh.ru
97,Data Scientist/python-разработчик,З/П не указана,,,,https://hh.ru/vacancy/77107666?from=vacancy_search_list&query=python,hh.ru
98,Программист Python - FastAPI,от 180 000 руб.,180000.0,,руб.,https://hh.ru/vacancy/77096615?from=vacancy_search_list&query=python,hh.ru
99,Python senior developer (разработчик),от 250 000 руб.,250000.0,,руб.,https://hh.ru/vacancy/76840139?from=vacancy_search_list&query=python,hh.ru
100,Python-разработчик (Middle),до 240 000 руб.,,240000.0,руб.,https://hh.ru/vacancy/77276110?from=vacancy_search_list&query=python,hh.ru
101,Middle / Middle+ Python Developer (backend),200 000 – 300 000 руб.,200000.0,300000.0,руб.,https://hh.ru/vacancy/77073241?from=vacancy_search_list&query=python,hh.ru
102,Системный аналитик (аналитик-разработчик),130 000 – 230 000 руб.,130000.0,230000.0,руб.,https://hh.ru/vacancy/76732634?from=vacancy_search_list&query=python,hh.ru
103,Middle Python Developer (Backend / Server side),140 000 – 220 000 руб.,140000.0,220000.0,руб.,https://hh.ru/vacancy/77148120?from=vacancy_search_list&query=python,hh.ru
104,QA Engineer на мобильную RTS,З/П не указана,,,,https://hh.ru/vacancy/73576354?from=vacancy_search_list&query=python,hh.ru
105,Эконометрист/Data scientist (Junior/Middle) в консалтинг,от 40 000 руб.,40000.0,,руб.,https://hh.ru/vacancy/75546364?from=vacancy_search_list&query=python,hh.ru
106,Python Back-end Разработчик / Python Back-end Developer,З/П не указана,,,,https://hh.ru/vacancy/46823861?from=vacancy_search_list&query=python,hh.ru
107,Python разработчик,З/П не указана,,,,https://hh.ru/vacancy/77075044?from=vacancy_search_list&query=python,hh.ru
108,BackEnd Developer (Python),З/П не указана,,,,https://hh.ru/vacancy/77264154?from=vacancy_search_list&query=python,hh.ru
109,Преподаватель по программированию для детей и подростков,250 000 – 300 000 KZT,250000.0,300000.0,KZT,https://hh.ru/vacancy/77037685?from=vacancy_search_list&query=python,hh.ru
110,Python программист (Наставник онлайн-курса по Python),до 80 000 руб.,,80000.0,руб.,https://hh.ru/vacancy/67864415?from=vacancy_search_list&query=python,hh.ru
111,Младший аналитик,З/П не указана,,,,https://hh.ru/vacancy/76921964?from=vacancy_search_list&query=python,hh.ru
